,Forecast,Lower_ci,Upper_ci
2025-11-01,6567436.5276512215,5856116.3961766735,7278756.6591257695
2025-12-01,7355783.8418667,6181326.824358544,8530240.859374855
2026-01-01,7108336.828050877,5645499.697112582,8571173.958989173
2026-02-01,6819482.420465452,5145510.437716446,8493454.403214458
2026-03-01,7736195.237309627,5898013.611836595,9574376.862782659
2026-04-01,7212580.311059749,5242520.834575957,9182639.78754354
2026-05-01,7389610.9915275825,5311516.771840494,9467705.21121467
2026-06-01,7706540.701262772,5538749.807950629,9874331.594574915
2026-07-01,8475985.20687715,6233005.327632349,10718965.08612195
2026-08-01,8434800.036526052,6128340.442958251,10741259.630093854
2026-09-01,7300190.507345939,4939842.29175131,9660538.722940568
2026-10-01,7219478.052071836,4813185.842962839,9625770.261180833
2026-11-01,6665732.848982523,4116567.1504206914,9214898.547544355
2026-12-01,7461596.153383233,4744897.849820427,10178294.456946038
2027-01-01,7133800.536215011,4279210.730802985,9988390.341627037
2027-02-01,6781695.060828777,3812238.997700687,9751151.123956867
2027-03-01,7713002.1792355785,4647022.6784842145,10778981.679986943
2027-04-01,7213647.299262983,4066024.2138430737,10361270.384682892
2027-05-01,7366827.542931473,4149795.613947482,10583859.471915465
2027-06-01,7717687.443019684,4441411.04777414,10993963.838265229
2027-07-01,8472950.996238388,5145943.071207096,11799958.921269681
2027-08-01,8375975.540257963,5005411.9415931925,11746539.138922734
2027-09-01,7330483.6890818095,3922444.7089777295,10738522.66918589
2027-10-01,7249163.453166095,3808822.982875385,10689503.923456805
